2003,China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1.66E+12,1288.643252,1.65E+12,0,0,0,0,113.4654999,62.26667023,15.63580036,0,6.2,44.79459013,754391191,28.9,0,0,6,0,2.059619904,0,0,0,0,0,3.869327839,0.622860936,204553248,1288400000,0,21.05303001,18.61115074,20.45388985,0,5.67414999,3.754120111,0.781790018,3,1,3,5,6,3,0,0,0,3.700000048,4.800000191,4.300000191
2003,India,0.970420003,83.52481079,83.52481079,86.95487213,83.52481079,98.78877258,0,0,0,0,0,0,0,0,5.59442997,5.59442997,4.548240185,5.59442997,0.962880015,0,12.92222977,6.00E+11,541.1352279,5.95E+11,3.546309948,3.546000004,0,0,102.9623489,49.82318115,10.67383957,0.068510003,1.686489971,28.83154461,441047175,81,0.973140001,-0.984380007,0,13777284,1.052880049,0,0,0,0,0,0.857114049,1.658100247,0,1108027848,9.173290253,41.32987976,32.32492828,26.38546944,11.29693985,5.134530067,3.459500074,0.533689976,3,3,3,5,7,4,7738,88.70305634,0.970420003,4,3.900000095,3.900000095
2003,United States,1.013059974,72.05092621,72.05092621,66.23674774,72.05092621,53.40597916,0,0,0,0,0,0,0,0,11.19991016,11.19991016,10.73320007,11.19991016,9.703269958,12,16.57224083,1.15E+13,39677.19835,1.16E+13,5.304969788,5.554140091,2355724,1353548,100.5753937,95.00524139,81.31324005,3.529530048,61.69711712,45.8181673,149184806,8.1,1.014479995,3.219939947,6,1103082,0.309599996,0,0,0,1.847429991,0,0,0.859481713,49814932,290107933,18.68416023,14.81355953,14.9155302,14.2308197,4.46476984,6.028950214,5.702939987,4.038300037,3,1,3,6,6,3,586316,97.22119141,1.006559968,5.699999809,6.300000191,6
2004,China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1.96E+12,1508.668098,1.95E+12,0,0,3977882,1805589,0,0,17.91102982,0,7.3,44.69616876,760819579,26.3,0,0,6,0,2.022660017,0,0,0,0,0,4.043759025,0.593932815,193672272,1296075000,0,0,0,22.47211075,0,0,0,0.895550013,3,1,3,6,6,3,0,0,0,3.700000048,4.800000191,4.300000191
2004,India,0,83.13076019,83.13076019,86.52335358,83.13076019,98.04254913,0,0,0,0,0,0,0,0,5.466300011,5.466300011,4.599299908,5.466300011,1.703690052,0,11.55218983,7.00E+11,621.3183767,6.95E+11,3.290780067,3.296499968,0,0,0,51.57170105,10.98427963,0.064029999,1.976136492,29.14240583,453489591,77.7,0,-1.065219998,0,0,1.129240036,0,0,0,0,0,1.17321211,1.621038435,0,1126135777,8.021519661,0,32.69998932,22.00003052,0,0,3.584320068,0.549210012,3,3,3,5,7,4,7589,0,0,3.900000095,3.900000095,3.900000095
2004,United States,1.014719963,72.00605774,72.00605774,68.39494324,72.00605774,59.56465149,0,0,0,0,0,0,0,0,11.11338043,11.11338043,11.20396996,11.11338043,11.42547989,12,15.66388035,1.23E+13,41921.80976,1.24E+13,5.041490078,5.31415987,2473299,1427311,100.0040283,95.50248718,81.46356201,3.387530088,64.75825648,45.7475371,150259265,8.1,1.015499949,3.087960005,6,1366373,0.299569994,0,0,0,2.222670078,40.11321,75.74268843,0.925483969,49883276,292805298,17.09794044,14.21109009,14.97542,14.38545036,5.56374979,5.989109993,5.731170177,4.086929798,3,1,3,6,6,3,572509,96.85820007,1.009019971,5.400000095,5.599999905,5.5
2005,China,0,0,0,0,0,0,4.96,2.18,0.15,7.29,7.68,16.76,26.93,2.73,0,0,0,0,0,9,0,2.29E+12,1753.417829,2.27E+12,0,0,5004102,2294295,0,0,19.3358593,0,8.523257003,44.58571802,766356401,24,0,0,6,0,1.95875001,0,0,0,0,0,4.818776837,0.58812499,182532432,1303720000,0,0,0,14.67140961,0,0,0,0.96679002,3,1,3,6,6,3,0,0,0,3.5,4.599999905,4.099999905
2005,India,0,83.13076019,83.13076019,86.20124817,83.13076019,97.32943726,3.05,2.34,0.24,5.63,37.95,15.22,21.8,4.38,5.466310024,5.466300011,4.81498003,5.466300011,2.454440117,0,11.53215027,8.09E+11,707.008019,8.03E+11,3.128520012,3.135930061,0,0,0,54.17274094,10.73015976,0.096019998,2.388075,29.44902842,466154153,74.4,0,-1.143929958,0,0,1.239959955,0,0,0,0,0,1.508237352,1.584251766,0,1144118674,6.641089916,0,0,0,0,0,3.768039942,0.536509991,3,3,3,5,7,4,11309,0,0,5,4.099999905,4.400000095
2005,United States,1.014860034,71.79390717,71.79390717,67.64898682,71.79390717,57.86384964,5.95,5.47,1.44,12.86,0.43,1.86,35.99,22.39,11.19279003,11.19279003,11.30611992,11.19279003,11.57367992,12,15.11192989,1.31E+13,44307.92058,1.32E+13,4.765850067,5.063310146,2557595,1482496,100.7020874,95.67317963,82.08444214,3.416840076,67.96805292,45.77773156,152118265,8,1.015499949,3.111730099,6,1147586,0.305110008,0,0,0,2.226589918,38.41115,77.2724445,0.921713167,49820976,295516599,19.22204018,14.12971973,14.94408035,14.29553032,4.725669861,6.026030064,5.7417202,4.138269901,3,1,3,6,6,3,590158,97.78220367,1.009349942,5.099999905,5.099999905,5.099999905
2006,China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,2.75E+12,2099.229435,2.75E+12,0,0,5622795,2567337,104.7535095,68.44516754,20.4976902,0.155760005,10.52315262,44.47761272,770372410,21.9,0,-1.587689996,6,0,1.743450046,0,0,0,0,0,5.588372306,0.558374367,172147904,1311020000,22.88607979,18.2519207,17.54953957,17.53157997,0,6.245679855,4.149099827,1.044980049,3,1,3,6,6,3,36386,0,0,3.5,4.400000095,4
2006,India,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.78108978,9.20E+11,792.0259698,9.13E+11,3.086610079,3.093549967,0,0,0,55.0823288,11.54055977,0.096280001,2.805499865,28.57375257,467169479,71.2,0,-1.036090016,0,0,1.132359982,0,0,0,0,0,2.703515081,1.548885996,0,1161977719,7.130350113,0,0,0,0,0,3.832700014,0.577030003,3,3,3,5,7,4,12374,0,0,4.900000095,4.099999905,4.300000191
2006,United States,1.020589948,71.24655151,71.24655151,66.9524765,71.24655151,57.08731079,0,0,0,0,0,0,0,0,11.31303024,11.31303024,11.16580009,11.31303024,10.82754993,12,15.1583004,1.39E+13,46437.06712,1.41E+13,4.950260162,5.386229992,2639006,1539689,101.5988464,95.40374756,82.0530014,3.343640089,68.93119327,45.76040672,153993286,7.9,1.020349979,3.032459974,6,896918,0.311190009,0,0,0,2.222650051,36.58787,79.91548776,0.964253917,49671496,298379912,0,13.80786991,14.61822033,13.55171013,3.747100115,6.076499939,5.725200176,4.151150227,3,1,3,6,6,3,584719,98.71858978,1.014999986,4.599999905,4.599999905,4.599999905
2007,China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3.55E+12,2695.365917,3.56E+12,0,0,5872815,2750852,109.3653564,72.58003998,20.84453011,0.166250005,16,44.36529857,774185758,20,0,-1.531649947,6,0,1.697900057,0,0,0,0,34.26405,0,0.522271866,162210096,1317885000,22.42935944,17.68202972,16.36853027,17.14973068,0,6.454599857,4.330480099,1.068510056,3,1,3,6,6,3,42138,0,0,3.299999952,4.199999809,3.799999952
2007,India,0.985140026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.20E+12,1018.166373,1.20E+12,0,0,0,0,110.2214432,57.47719955,13.18877029,0,3.95,27.6915782,468123348,68,0.985220015,0,0,3790861,1.086539984,0,0,0,0,0,3.192144908,1.5120782,0,1179681239,0,0,0,0,3.033440113,5.506189823,3.999039888,0.659439981,3,3,3,5,7,4,0,96.96656036,0.985140026,3.799999952,3.700000048,3.700000048
2007,United States,1.013820052,71.08808136,71.08808136,66.65318298,71.08808136,56.8284111,0,0,0,0,0,0,0,0,11.65353012,11.65353012,11.24083042,11.65353012,10.32656002,12,14.54073048,1.45E+13,48061.53766,1.46E+13,4.979579926,5.229839802,2704070,1581125,102.7861023,96.07393646,83.03105927,3.355360031,75,45.80893909,155293472,7.8,1.011800051,3.031830072,6,673793,0.323529989,0,0,0,2.231169939,35.35579,0,0.951055243,49569824,301231207,0,13.79555988,14.56390953,13.55169964,2.827719927,6.148139954,5.763810158,4.201990128,3,1,3,6,6,3,595874,99.65252686,1.006829977,4.5,4.699999809,4.599999905
2008,China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4.60E+12,3471.248054,4.63E+12,0,0,7071047,3387354,112.9970474,76.69760895,20.93997955,0.191210002,22.6,44.25074762,777396382,18.4,0,-1.531759977,6,0,1.722980022,0,0,0,0,36.98642,0,0.512386932,153938592,1324655000,22.38451958,17.55451965,15.99176025,16.73773003,0,6.616740227,4.508220196,1.073709965,3,1,3,6,6,3,51038,0,0,3.799999952,4.800000191,4.400000095
2008,India,1.012799978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19E+12,991.4846304,1.18E+12,0,0,0,0,110.8635025,60.55574036,15.11709976,0,4.38,26.80563712,469003857,64.9,1.012889981,0,0,3786269,1.067010045,0,0,0,0,0,0,1.469688199,0,1197146906,0,0,0,0,3.012959957,5.53881979,4.212279797,0.755859971,3,2,3,5,7,4,0,96.98703766,1.012799978,4.199999809,4.099999905,4.099999905
2008,United States,1.009209991,71.6881485,71.6881485,66.54302979,71.6881485,55.88423157,0,0,0,0,0,0,0,0,11.57946968,11.57946968,10.53417969,11.57946968,8.368729591,12,13.97609997,1.47E+13,48401.42734,1.48E+13,5.052810192,5.295360088,2782270,1626282,103.3816299,95.97541809,85.00682068,3.422130108,74,45.95642396,157089033,7.6,1.011389971,3.119119883,6,600136,0.303009987,0,0,0,2.525219917,35.24091,0,0.945865287,49597744,304093966,0,13.68908024,14.37658978,13.30630016,2.51425004,6.187019825,5.755010128,4.302480221,3,1,3,6,6,3,624474,99.76254272,1.001180053,5.400000095,6.099999905,5.800000191
2009,China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,5.11E+12,3838.433972,5.10E+12,0,0,7716957,3751223,113.9523926,80.60784912,22.51596069,0.208939999,28.9,44.13361155,779406536,17,0,-1.556959987,6,0,1.765900016,0,0,0,0,39.67877,0,0.497381401,147488080,1331260000,22.71068001,17.21562958,15.71504974,19.61024094,0,6.67031002,4.698390007,1.125800014,3,1,3,6,6,3,61211,0,0,3.700000048,4.699999809,4.300000191
2009,India,1.024790049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10.82184029,1.32E+12,1090.317765,1.32E+12,3.204190016,3.310760021,0,0,109.5730286,59.79393005,16.1029892,0,5.12,25.92009692,469826457,61.9,1.026430011,0,6,5501223,1.098449945,0,0,0,0,0,0,1.420203435,199927088,1214270132,0,0,25.13929939,0,4.356389999,5.475080013,4.159770012,0.805149972,3,2,3,5,7,4,0,95.64360809,1.024790049,3.900000095,3.900000095,3.900000095
2009,United States,1.021929979,72.16590118,72.16590118,66.94474792,72.16590118,56.45560837,0,0,0,0,0,0,0,0,11.3514204,11.3514204,9.879610062,11.3514204,6.922780037,12,12.88782024,1.44E+13,47001.55535,1.45E+13,5.017380238,5.256219864,2881557,1684190,102.3355179,95.41825104,88.58174133,3.458029985,71,46.16297892,157204844,7.5,1.02015996,3.159559965,6,953493,0.29846999,0,0,0,2.394320011,34.07472,0,0.876651299,49727492,306771529,0,13.87215042,13.96016979,13.59372997,3.968699932,6.127019882,5.718379974,4.486609936,3,1,3,6,6,3,660581,98.45876312,1.01504004,8.100000381,10.39999962,9.300000191
2010,China,0,0,0,0,0,0,5.07,2.3,0.14,7.51,5.35,14.81,22.85,2.71,0,0,0,0,0,9,0,6.10E+12,4560.512586,6.07E+12,0,0,7863663,3852772,112.4739227,84.92115784,23.94791985,0.230859995,34.3,44.01178427,779951535,15.7,0,-1.600510001,6,0,1.831359982,0,0,0,0,0,0,0.482959689,142715248,1337705000,24.03673935,16.84375954,15.46166039,19.94104958,0,6.63424015,4.927499771,1.197399974,3,1,3,6,6,3,71673,0,0,3.599999905,4.599999905,4.199999809
2010,India,1.01970005,0,0,0,0,0,3.3,2.67,0.27,6.24,33.16,15.19,25.03,4.85,0,0,0,0,0,8,11.74277973,1.66E+12,1345.770153,1.64E+12,3.310290098,3.424160004,0,0,109.1836472,63.29093933,17.91148949,0,7.5,25.03794864,470609097,58.8,1.022119999,0,6,4826441,1.006340027,0,0,0,0,0,0,1.366797957,200884448,1230980691,0,0,25.32821083,0,3.807189941,5.455480099,4.403180122,0.89556998,3,2,3,5,7,4,0,96.19281006,1.01970005,4.400000095,3.299999952,3.599999905
2010,United States,1.007089972,73.61617279,73.61617279,69.40447235,73.61617279,59.3862114,5.96,5.61,1.61,13.18,0.35,2.03,36.19,26.76,9.725500107,9.725500107,10.0880003,9.725500107,10.95028019,12,13.05513954,1.50E+13,48373.87882,1.51E+13,5.034619808,5.427070141,2997614,1754139,100.6018219,94.31130981,94.22801208,3.352339983,71.69,46.16462726,157021140,7.3,1.004770041,3.070830107,6,1261861,0.281509995,0,0,0,2.346920013,0,0,0.836421536,49899132,309348193,15.72929955,13.59084034,13.75942993,14.19435024,5.204179764,6.027979851,5.65034008,4.779729843,3,1,3,6,6,3,684807,97.56397247,1.002810001,8.600000381,10.5,9.600000381
2011,China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,7.57E+12,5633.795717,7.50E+12,0,0,8733298,4342746,110.7839813,89.07794189,24.87281036,0.254370004,38.3,43.9786172,782572261,14.6,0,-1.823770046,6,0,2.07814002,0,0,0,0,47.0146,0,0.479150454,139313440,1344130000,23.15032959,16.78841019,15.15324974,19.48790932,0,6.59637022,5.150859833,1.243639946,3,1,3,6,6,3,79638,0,0,3.700000048,4.800000191,4.300000191
2011,India,1.028349996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13.67652035,1.82E+12,1461.671957,1.81E+12,3.706589937,3.838660002,0,0,108.3747177,66.42167664,22.86137009,0.103299998,10.07,24.5638736,473680568,55.9,1.029729962,-0.663070023,6,5385334,0.766369998,0,0,0,0,0,0,1.31187648,201642624,1247236029,0,35.15462875,25.92120934,0,4.237010002,5.417329788,4.622439861,1.143069983,3,3,3,5,7,4,27531,95.76299286,1.028349996,4.599999905,3.400000095,3.700000048
2011,United States,1.015319943,74.11875153,74.11875153,69.39163971,74.11875153,58.74393082,0,0,0,0,0,0,0,0,8.794599533,8.794599533,9.555560112,8.794599533,11.26959038,12,12.93340969,1.55E+13,49790.66548,1.58E+13,4.8259902,5.211500168,3164951,1849525,99.89647675,94.67604828,96.32240295,3.376290083,69.72946076,46.09492694,157140197,7.2,1.014410019,3.091939926,6,1480959,0.284350008,0,0,0,2.342700005,44.80216,0,0.745614384,50032936,311663358,14.30356979,14.28522015,14.49055958,14.18686008,6.05535984,5.989329815,5.670470238,4.896359921,3,1,3,6,6,3,709565,96.48921204,1.011940002,8.399999619,9.300000191,8.899999619
2012,China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,8.56E+12,6337.883323,8.54E+12,0,0,9135720,4604676,110.088768,92.14324951,27.18442917,0.273059994,42.30011749,43.94285804,784497000,13.5,0,-1.856609941,6,0,2.129659891,0,0,0,0,49.47396,0,0.487231118,137078544,1350695000,23.01143074,16.84872055,14.50325966,0,0,6.592899799,5.317409992,1.359220028,3,1,3,6,6,3,88979,0,0,3.900000095,5,4.5
2012,India,1.014050007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14.06268024,1.83E+12,1446.98541,1.81E+12,3.807399988,3.865880013,0,0,109.7577515,69.16414642,24.36532974,0.099179998,12.58006091,24.09777209,476798401,53,1.013779998,-0.561659992,6,3842791,0.660839975,0,0,0,0,0,0,1.261205511,202375760,1263065852,0,0,0,0,3.015490055,5.487609863,4.815489769,1.218269944,3,0,3,5,7,4,28335,96.98451233,1.014050007,4.599999905,3.5,3.700000048
2012,United States,0.999890029,74.20365143,74.20365143,68.38053131,74.20365143,56.08132935,0,0,0,0,0,0,0,0,8.810759544,8.810759544,0,8.810759544,0,12,13.38630009,1.62E+13,51450.1223,1.66E+13,0,5.200870037,3308494,1931499,99.56440735,94.98032379,94.84227753,3.527090073,74.7,45.97104023,158430696,7,0.996290028,3.239880085,6,1442532,0.287209988,0,0,0,2.345249891,43.01757,0,0.746419895,49885892,313998379,13.32726002,14.42216015,14.66372013,13.77915001,5.890629768,5.972809792,5.681570053,4.843359947,3,1,3,6,6,3,740482,97.29683685,0.992820024,7.900000095,8.300000191,8.100000381
2013,China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9.61E+12,7077.770765,9.53E+12,0,0,9366202,4751345,108.7339478,96.24175262,30.16206932,0.282799989,45.8,43.91370664,785762067,12.5,0,-1.806169987,6,0,2.088969946,0,52.55307007,5.816949844,0.853160024,50.2676,0,0.493709634,136204800,1357380000,22.26594925,16.85342979,15.14167023,0,0,6.52933979,5.585229874,1.494590044,3,1,3,6,6,3,96409,0,0,3.900000095,5,4.5
2013,India,1.013960004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14.09095955,1.86E+12,1452.195373,1.83E+12,0,3.84236002,8846030,4344684,110.5846481,68.89720917,23.89011002,0.122160003,15.1,24.23505123,485904663,50.3,1.013669968,0,6,2886200,0.636879981,6.534689903,86.2568512,13.39663982,0.346509993,79.34154,0,1.219418944,202961360,1278562207,0,32.31832886,30.78326988,21.53121948,2.261130095,5.530240059,4.809889793,1.194509983,3,2,3,5,7,4,34419,97.73886871,1.013960004,4.5,3.400000095,3.599999905
2013,United States,0.99684,0,74.8807373,70.02133179,74.8807373,59.37424088,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13.28635979,1.67E+13,52787.02695,1.71E+13,0,4.930130005,3784640,2216608,99.42176819,95.92958069,88.80857086,3.927510023,71.4,45.89419849,158992318,6.9,0.99684,3.625639915,6,1516354,0.301869988,0,48.22740936,12.61283016,1.960690022,41.48076,0,0.7002623,49677528,316204908,13.73962975,14.45366955,14.69573975,12.75794983,6.174160004,5.965559959,5.736569881,4.568260193,3,1,3,6,6,3,784427,96.4274826,0.990660012,7.099999905,7.699999809,7.400000095
2014,China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1.05E+13,7683.502613,1.05E+13,0,0,11380503,5818568,103.9189682,94.3320694,39.39038849,0,47.9,43.87256505,786598346,11.5,0,0,0,0,0,0,51.36220932,5.120329857,0.731440008,51.10172,0,0.506311592,0,1364270000,21.03871918,16.23078918,14.27962971,0,0,6.243450165,5.517199993,1.951949954,3,1,3,6,6,3,108217,0,0,4,5.099999905,4.599999905
2014,India,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2.04E+12,1573.118089,2.01E+12,0,0,7741584,3887470,107.9214325,74.2754364,25.53544998,0,21,24.37862234,494960467,47.7,0,0,6,0,0,0,0,0,0,0,0,1.189328211,203349376,1293859294,0,31.28854942,31.77246094,24.47278976,0,0,0,0,3,2,3,5,7,4,0,0,0,4.400000095,3.299999952,3.5
2014,United States,1.008319974,0,74.72167206,69.68537903,74.72167206,58.7522316,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14.54819965,1.74E+13,54598.55069,1.79E+13,0,5.38078022,3813956,2228523,99.53204346,97.56468964,86.66396332,0,73,45.95011237,159770001,6.8,1.004719973,0,6,1470712,0,0,48.0388298,12.73771,1.989390016,40.94574,0,0.74312426,49488316,318563456,13.81997013,14.53748989,14.78682995,12.46113968,5.965469837,5.972980022,5.834499836,4.468249798,3,1,3,6,6,3,842384,97.83541107,1.003720045,6.099999905,6.300000191,6.199999809
2015,China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1.11E+13,8069.213024,1.10E+13,0,0,11923653,6146365,104.1251297,94.29920959,43.39176941,0,50.3,43.82188675,787109802,10.7,0,0,0,0,0,0,0,0,0,0,0,0.508136747,0,1371220000,19.93140984,16.29441071,13.81544018,0,0,0,0,0,3,1,3,6,6,3,0,0,0,3.900000095,5.099999905,4.5
2015,India,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2.09E+12,1596.470003,2.07E+12,0,0,8428836,4252621,108.6006165,73.96920013,26.87487984,0,26,24.52109312,503832494,45.2,0,0,0,0,0,0,0,0,0,0,0,1.167527075,0,1309053980,20.10149956,31.4914608,31.65018082,24.28976059,0,0,0,0,3,0,3,5,7,4,0,0,0,4.199999809,3.299999952,3.5
2015,United States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1.81E+13,56469.00897,1.86E+13,0,0,0,0,100.1470413,0,85.79577637,0,74.55420245,45.84590032,160767760,6.6,0,0,0,1372090,0,0,0,0,0,0,0,0.729731987,0,320896618,0,0,0,0,5.543950081,0,0,0,3,1,3,6,6,3,0,0,0,5.199999809,5.400000095,5.300000191
2016,China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1.12E+13,8123.180873,1.12E+13,0,0,0,0,0,0,0,0,53.2,43.76275416,787086139,9.9,0,0,0,0,0,0,0,0,0,0,0,0.541478512,0,1378665000,0,0,0,0,0,0,0,0,3,1,3,6,6,3,0,0,0,3.799999952,5.099999905,4.599999905
2016,India,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2.26E+12,1709.591808,2.24E+12,0,0,0,0,0,0,0,0,29.54716289,24.69336137,512767339,43,0,0,0,0,0,0,0,0,0,0,0,1.148214693,0,1324171354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.099999905,3.299999952,3.5
2016,United States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1.86E+13,57638.15909,1.90E+13,0,0,0,0,0,0,0,0,76.17673698,45.84764605,162637713,6.5,0,0,0,0,0,0,0,0,0,0,0,0.692801346,0,323127513,0,0,0,0,0,0,0,0,3,1,3,6,6,3,0,0,0,4.800000191,5,4.900000095
2017,China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,India,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,United States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,India,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,United States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
